icao,iata,name,callsign,country,active
LVR,,Aviavilsa,AVIAVILSA,Lithuania,N
LVT,,La Valenciana Taxi Aereo,TAXIVALENCIANA,Mexico,N
LWD,,Leisure Air,LEISURE WORLD,United States,N
LXA,,Luxaviation,RED LION,Luxembourg,N
LXF,,Lynx Air International,LYNX FLIGHT,United States,N
LXG,L8,Air Luxor GB,LUXOR GOLF,Guinea-Bissau,N
LXJ,,Bombardier Business Jet Solutions,FLEXJET,United States,N
LXO,,Luxor Air,,Egypt,N
LXP,LU,LAN Express,LANEX,Chile,Y
LXR,LK,Air Luxor,AIRLUXOR,Portugal,Y
LYC,L2,Lynden Air Cargo,LYNDEN,United States,N
LYD,,Lydd Air,LYDDAIR,United Kingdom,N
LYF,,Lithuanian Air Force,LITHUANIAN AIRFORCE,Lithuania,N
LYM,,Key Lime Air,KEY LIME,United States,N
LYN,QH,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan,N
LYT,,Apatas Air,APATAS,Lithuania,N
LYW,,Libyan Airlines,LIBYAN AIRWAYS,Libya,N
LYX,,Lynx Aviation,LYNX AIR,Pakistan,N
LZA,,Lanza Air,AEROLANZA,Spain,N
LZB,FB,Bulgaria Air,FLYING BULGARIA,Bulgaria,Y
LZP,,Air Ban,DOC AIR,Bulgaria,N
LZR,,Air Lazur,LAZUR BEE-GEE,Bulgaria,N
LZT,,Lanzarote Aerocargo,BARAKA,Spain,N
MAA,M7,MasAir,MAS CARGA,Mexico,Y
MAB,,Millardair,MILLARDAIR,Canada,N
MAC,R5,Malta Air Charter,MALTA CHARTER,Malta,Y
MAD,,Maple Air Services,MAPLE AIR,Canada,N
MAE,,Mali Air,MALI AIREXPRESS,Austria,N
MAF,,Mission Aviation Fellowship,MISSI,Indonesia,N
MAH,MA,Malév,MALEV,Hungary,Y
MAI,L6,Mauritania Airlines International,,Mauritania,Y
MAJ,,Majestic Airlines,MAGIC AIR,United States,N
MAK,IN,MAT Macedonian Airlines,MAKAVIO,Macedonia,Y
MAL,,Morningstar Air Express,MORNINGSTAR,Canada,Y
MAM,,Aerodromo De La Mancha,AEROMAN,Spain,N
MAN,,Mannion Air Charter,MANNION,United States,N
MAQ,,Mac Aviation,MAC AVIATION,Spain,N
MAR,,March Helicopters,MARCH,United Kingdom,N
MAS,MH,Malaysia Airlines,MALAYSIAN,Malaysia,Y
MAT,,Maine Aviation,MAINE-AV,United States,N
MAU,MK,Air Mauritius,AIRMAURITIUS,Mauritius,Y
MAV,ML,Maldivo Airlines,Maldivo,Maldives,Y
MAW,,Mustique Airways,MUSTIQUE,Barbados,N
MAX,,Max-Aviation,MAX AVIATION,Canada,N
MAZ,,Mines Air Services Zambia,MINES,Zambia,N
MBA,,Avag Air,AVAG AIR,Austria,N
MBB,,Air Manas,AIR MANAS,Kyrgyzstan,N
MBC,,Airjet Exploracao Aerea De Carga,MABECO,Angola,N
MBE,,Martin-Baker,MARTIN,United Kingdom,N
MBI,,Mountain Bird,MOUNTAIN BIRD,United States,N
MBL,,First City Air,FIRST CITY,United Kingdom,N
MBN,Q3,Zambian Airways,ZAMBIANA,Zambia,N
MBO,,Mobil Oil,MOBIL,Canada,N
MBR,,Brazilian Navy Aviation,BRAZILIAN NAVY,Brazil,N
MBS,,Mbach Air,MBACHI AIR,Malawi,N
MBV,,Aeriantur-M,AEREM,Moldova,N
MCA,,MCA Airlines,CALSON,Sweden,Y
MCB,,Air Mercia,WESTMID,United Kingdom,N
MCC,,MCC Aviation,DISCOVERY,South Africa,N
MCD,,Air Medical,AIR MED,United Kingdom,N
MCE,,Marshall Aerospace,MARSHALL,United Kingdom,N
MCF,,MAC Fotografica,MAC FOTO,Spain,N
MCG,,SOS Helikoptern Gotland,MEDICOPTER,Sweden,N
MCH,,McAlpine Helicopters,MACLINE,United Kingdom,N
MCK,CC,Macair Airlines,,Australia,Y
MCL,,Medical Aviation Services,MEDIC,United Kingdom,N
MCM,,Heli-Air-Monaco,HELI AIR,Monaco,N
MCN,,Mac Dan Aviation Corporation,MAC DAN,United States,N
MCO,,Aerolineas Marcos,MARCOS,Mexico,N
MCP,,Marcopolo Airways,MARCOPOLO,Afghanistan,N
MCS,,Macedonian Airlines,MACAIR,Greece,N
MCT,,Transportacion Aerea Del Mar De Cortes,TRANS CORTES,Mexico,N
MCV,,MTC Aviacion,MTC AVIACION,Mexico,N
MCX,,Cargo Express,MAURICARGO,Mauritania,N
MCY,,Ambulance Air Africa,MERCY,South Africa,N
MDA,AE,Mandarin Airlines,Mandarin,Taiwan,Y
MDB,,Monde Air Charters,MONDEAIR CARGO,United Kingdom,N
MDC,,Atlantic Aero and Mid-Atlantic Freight,NIGHT SHIP,United States,N
MDE,,Mauritanienne De Transport Aerien,MAURI-TRANS,Mauritania,N
MDF,,Mediterranean Air Freight,MED-FREIGHT,Greece,N
MDG,MD,Air Madagascar,AIR MADAGASCAR,Madagascar,Y
MDH,,Madina Air,MADINA AIR,Libya,N
MDJ,,Jetran Air,JETRAN AIR,Romania,N
MDL,RI,Mandala Airlines,MANDALA,Indonesia,Y
MDM,,Medavia Company,MEDAVIA,Malta,N
MDN,,Mudan Airlines,,Somali Republic,N
MDO,D1,Domenican Airlines,Domenican,Dominican Republic,Y
MDP,,Medallion Air,MEDALS,Romania,Y
MDR,,Compania Mexicana De Aeroplanos,AEROPLANOS,Mexico,N
MDS,,McNeely Charter Services,MID-SOUTH,United States,N
MDT,,Sundt Air,MIDNIGHT,Norway,N
MDV,2M,Moldavian Airlines,MOLDAVIAN,Moldova,Y
MDW,JI,Midway Airlines,MIDWAY,United States,Y
MDX,,Aerosud Charter,MEDAIR,South Africa,N
MDY,,Mediterranean Airways,,Egypt,N
MEA,ME,Middle East Airlines,CEDAR JET,Lebanon,Y
MEC,,Mercury Aircourier Service,MERCAIR,United States,N
MED,,Ontario Ministry of Health,MEDICAL,Canada,N
MEE,,Elimediterranea,ELIMEDITERRANEA,Italy,N
MEF,,Air Meridan,EMPENNAGE,Nigeria,N
MEI,,Merlin Airways,AVALON,United States,N
MEJ,,Medjet International,MEDJET,United States,N
MEK,,Med-Trans of Florida,MED-TRANS,United States,N
MEL,,Mega Linhas Aereas,MEGA AIR,Brazil,N
MEM,,Meridian Limited,MERIDIAN CHERRY,Ukraine,N
MEP,YX,Midwest Airlines,,United States,Y
MER,,Methow Aviation,METHOW,United States,N
MES,XJ,Mesaba Airlines,MESABA,United States,Y
MET,,Meteorological Research Flight,METMAN,United Kingdom,N
MEX,,Metro Express,EAGLE EXPRESS,United States,N
MEY,,Justair Scandinavia,MELODY,Sweden,N
MFA,,Martyn Fiddler Associates,SEAHORSE,United Kingdom,N
MFC,,Moncton Flying Club,EAST WIND,Canada,N
MFL,,Aero McFly,MCFLY,Mexico,N
MFR,,Midline Air Freight,MIDLINE FREIGHT,United States,N
MFS,,Miller Flying Services,MILLER TIME,United States,N
MFT,,Multiflight,YORKAIR,,N
MFZ,,Mofaz Air,MOFAZ AIR,Malaysia,N
MGA,,MG Aviacion,MAG AVACION,Spain,N
MGB,,Coulson Flying Service,MOCKINGBIRD,United Kingdom,N
MGE,,Asia Pacific Airlines,MAGELLAN,United States,N
MGG,,Elmagal Aviation Services,ELMAGAL,Sudan,N
MGI,,Marghi Air,MARGHI,Nigeria,N
MGK,,Mega,MEGLA,Kazakhstan,N
MGL,OM,MIAT Mongolian Airlines,MONGOL AIR,Mongolia,Y
MGM,,Transporte Aero MGM,AERO EMM-GEE-EMM,Mexico,N
MGO,,Punto Fa,MANGO,Spain,N
MGR,,Magna Air,MAGNA AIR,Austria,N
MGS,,Aeromagar,AEROMAGAR,Mexico,N
MGX,YM,Montenegro Airlines,MONTAIR,Montenegro,Y
MHA,,Mountain High Aviation,MOUNTAIN HIGH,United States,N
MHC,,Aero Jomacha,AERO JOMACHA,Mexico,N
MHL,,Meridian Airlines,HASSIMAIR,Nigeria,N
MHN,,Manhattan Air,MANHATTAN,United Kingdom,N
MHS,,Air Memphis,AIR MEMPHIS,Egypt,N
MHU,,Air Memphis,MEPHIS UGANDA,Uganda,N
MIA,,Mauria,MAURIA,Mauritania,N
MIC,,Mint Airways,,Spain,Y
MID,,Midland Airport Services,,United Kingdom,N
MIE,,Aero Premier De Mexico,AEROPREMIER,Mexico,N
MIF,,Miras,MIRAS,Kazakhstan,N
MIG,,Russian Aircraft Corporation-MiG,MIG AVIA,Russia,N
MIM,,Mimino,MIMINO,Russia,N
MIR,,Miramichi Air Service,MIRAMICHI,Canada,N
MIS,,Midstate Airlines,MIDSTATE,United States,N
MIT,,Flight Line,MATCO,United States,N
MIZ,,Desarrollo Milaz,MILAZ,Mexico,N
MJB,,Magic Blue Airlines,MAGIC BLUE,Netherlands,N
MJG,DF,Michael Airlines,MJG,Puerto Rico,Y
MJL,,Jet Line International,MOLDJET,Moldova,N
MJM,,Eti 2000,ELCO ETI,Italy,N
MJN,RS,Royal Air Force of Oman,MAJAN,Oman,N
MJP,,Air Majoro,Air Majoro,Peru,Y
MJR,,Midamerica Jet,MAJOR,United States,N
MJT,,Mex-Jet,MEJETS,Mexico,N
MJX,4L,Euroline,GEO-LINE,Georgia,Y
MKA,,MK Airline,KRUGER-AIR,Ghana,N
MKD,6F,MAT Airways,,Macedonia,Y
MKG,P8,Air Mekong,Air Mekong,Vietnam,Y
MKH,,Air Marrakech Service,AIR MARRAKECH,Morocco,N
MKK,,Malaya Aviatsia Dona,AEROKEY,Russia,N
MKL,,McCall Aviation,MCCALL,United States,N
MKN,,Mekong Airlines,MEKONG AIRLINES,Cambodia,N
MKO,,Markoss Aviation,GOSHAWK,United Kingdom,N
MKS,,Pimichikamac Air,MIKISEW,Canada,N
MKU,WP,Island Air (WP),,United States,Y
MKY,,Monky Aerotaxis,MONKY,Mexico,N
MLA,Q5,40-Mile Air,MILE-AIR,United States,Y
MLB,,Manaf International Airways,MANAF,Burundi,N
MLC,,Malila Airlift,MALILA,Democratic Republic of the Congo,N
MLD,9U,Air Moldova,AIR MOLDOVA,Moldova,Y
MLE,,Moldaeroservice,MOLDAERO,Moldova,N
MLF,,Amal Airlines,AMAL,Djibouti,N
MLG,,Malagasy Airlines,,Madagascar,N
MLH,,Mahalo Air,MAHALO,United States,N
MLI,,Air Mali,AIR MALI,Mali,N
MLK,,Millennium Air,NIGERJET,Nigeria,N
MLN,,Air Madeleine,AIR MADELEINE,Canada,N
MLO,,Servicios Aereos Milenio,MILENIO,Mexico,N
MLS,,Mall Airways,MALL-AIRWAYS,United States,N
MLU,,Zracno Pristaniste Mali Losinj,MALI LOSINJ,Croatia,N
MLX,,Malawi Express,MALAWI EXPRESS,Malawi,N
MMC,,Aermarche,AERMARCHE,Italy,N
MMD,,Air Alsie,MERMAID,Denmark,N
MMM,8M,Myanmar Airways International,assignment postponed,Myanmar,Y
MMP,,AMP Incorporated,AMP-INC,United States,N
MMR,,Musrata Air Transport,MUSRATA AIR,Libya,N
MMS,,SAAD (A320) Limited,MUSAAD AIR,Cayman Islands,N
MMX,,Airmax,PERUMAX,Peru,N
MMZ,,EuroAtlantic Airways,EUROATLANTIC,Portugal,N
MNA,MZ,Merpati Nusantara Airlines,MERPATI,Indonesia,Y
MNB,MB,MNG Airlines,BLACK SEA,Turkey,Y
MNC,,MIT Airlines,MUNCIE,Canada,N
MNE,,Aerolineas Amanecer,AEROAMANECER,Mexico,N
MNG,M0,Aero Mongolia,AERO MONGOLIA,Mongolia,N
MNH,,Monarch Airlines,MONARCH AIR,United States,N
MNI,,Aeromilenio,AEROMIL,Mexico,N
MNJ,IM,Menajet,MENAJET,Lebanon,N
MNL,,Miniliner,MINILINER,Italy,N
MNO,JE,Mango,TULCA,South Africa,Y
MNP,SM,Spirit of Manila Airlines,MANILA SKY,Philippines,Y
MNR,,Mann Air,TEEMOL,United Kingdom,N
MNS,,Ministic Air,MINISTIC,Canada,N
MNT,,Montserrat Airways,MONTSERRAT,Montserrat,N
MNV,,Mauritanienne Aerienne Et Navale,NAVALE,Mauritania,N
MNX,,Manx Airlines,MANX,United Kingdom,N
MNY,,Mooney Aircraft Corporation,MOONEY FLIGHT,United States,N
MNZ,,Murmansk Aircompany,MURMAN AIR,Russia,N
MOC,,Air Monarch Cargo,MONARCH CARGO,Mexico,N
MOH,,Tigerfly,MOTH,United Kingdom,N
MON,ZB,Monarch Airlines,MONARCH,United Kingdom,Y
MOP,,Aeropublicitaria De Angola,PUBLICITARIA,Angola,N
MOR,,Aerolineas De Morelia,AEROMORELIA,Mexico,N
MOS,,Misr Overseas Airways,,Egypt,N
MOV,NN,VIM Airlines,MOV AIR,Russia,Y
MOW,,Mowhawk Airlines,MOHAWK AIR,United States,N
MPA,,Mid-Pacific Airlines,MID PAC,United States,N
MPC,,Mountain Pacific Air,MOUNTAIN PACIFIC,Canada,N
MPD,A7,Air Plus Comet,RED COMET,Spain,Y
MPE,5T,Canadian North,EMPRESS,Canada,Y
MPH,MP,Martinair,MARTINAIR,Netherlands,Y
MPI,,Mosphil Aero,MOSPHIL,Philippines,N
MPJ,,MAP-Management and Planung,MAPJET,Austria,N
MPL,,Master Planner,,United States,N
MPO,,Transportes Aereos Amparo,AMPARO,Mexico,N
MPR,,Empire Aviation Services,,Nigeria,N
MPS,,Metroplis,METRO REGIONAL,Netherlands,N
MPT,,Miapet-Avia,MIAPET,Armenia,N
MPX,QO,Aeromexpress,AEROMEXPRESS,Mexico,N
MQT,,Air ITM,MUSKETEER,France,N
MRA,,Martinaire,MARTEX,United States,N
MRD,,Meridian Air Cargo,MERIDIAN,United States,N
MRE,,Namibia Commerical Aviation,MED RESCUE,Namibia,N
MRF,,Mauritanienne Air Fret,MAUR-FRET,Mauritania,N
MRG,,MANAG'AIR,MANAG'AIR,France,N
MRH,,Marham Flying Training Unit,MARHAM,United Kingdom,N
MRI,,Servicios Aereos Moritani,MORITANI,Mexico,N
MRK,,Markair,MARKAIR,United States,N
MRL,,Aeromorelos,AEROMORELOS,Mexico,N
MRM,,Aerocharter,MARITIME,Canada,N
MRN,,Missions Gouvernemtales Francaises,MARIANNE,France,N
MRO,,Morrison Flying Service,MORRISON,United States,N
MRP,,Abas,ABAS,Czech Republic,N
MRR,2G,San Juan Airlines,MARINER,United States,N
MRS,Y8,Marusya Airways,snowball,Russia,Y
MRT,MR,Air Mauritanie,MIKE ROMEO,Mauritania,N
MRW,6V,Mars RK,AVIAMARS,Ukraine,N
MRX,,Herman's Markair Express,SPEEDMARK,United States,N
MRZ,,Medical Air Rescue Services,MARS,Zimbabwe,N
MSA,,Mistral Air,AIRMERCI,Italy,N
MSC,,Air Cairo,,Egypt,N
MSE,,EgyptAir Express,EGYPTAIR EXPRESS,Egypt,Y
MSF,,Max Sea Food,MAXESA,El Salvador,N
MSG,,Servico Aereo Regional,SAR-REGIONAL,Mozambique,N
MSH,,US Marshals Service,MARSHALAIR,United States,N
MSI,M9,Motor Sich,MOTOR SICH,Ukraine,Y
MSK,,Air Sport,AIR SPORT,Bulgaria,N
MSL,M7,Marsland Aviation,MARSLANDAIR,Sudan,N
MSM,,Aeromas,AEROMAS EXPRESS,Uruguay,N
MSN,,Missionair,MISIONAIR,Spain,N
MSO,,Aerol,MESO AMERICANAS,Mexico,N
MSP,,Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica,SEGURIDAD,Costa Rica,N
MSQ,,Meta Linhas A,META,Brazil,N
MSR,MS,Egyptair,EGYPTAIR,Egypt,Y
MSS,,Morris Air Service,WASATCH,United States,N
MSV,,Aero-Kamov,AERAFKAM,Russia,N
MSW,,Master Airways,MASTER AIRWAYS,Serbia,N
MSX,,Egyptair Cargo,EGYPTAIR CARGO,Egypt,N
MSY,,Massey University School of Aviation,MASSEY,New Zealand,N
MTA,,GAK/Mitchell Aero,GAK AVIATION,United States,N
MTB,,Aerotaxis Metropolitanos,AEROMETROPOLIS,Mexico,N
MTC,N4,Mountain Air Company,MOUNTAIN LEONE,Sierra Leone,N
MTD,,MacKnight Airlines,,Australia,N
MTE,,Aeromet Linea Aerea,AEROMET,Chile,N
MTF,,Interjet,INTERJET,Italy,N
MTG,,Servicios Aereos MTT,,Mexico,N
MTH,,Massachusetts Institute of Technology,RESEARCH,United States,N
MTI,,Monerrey Air Taxi,MONTERREY AIR,Mexico,N
MTJ,,Metrojet,METROJET,Hong Kong SAR of China,N
MTK,,Air Metack,AIRMETACK,Angola,N
MTL,,RAF-Avia,MITAVIA,Latvia,N
MTN,,Mountain Air Cargo,MOUNTAIN,United States,N
MTO,,Manitoulin Air Services,MANITOULIN,Canada,N
MTP,,Island Helicopters,METROCOPTER,United States,N
MTR,,Metroflight,METRO,United States,N
MTS,,Mantrust Asahi Airways,MANTRUST,Indonesia,N
MTV,,Mountain Valley Air Service,MOUNTAIN VALLEY,United States,N
MTW,,Mauritania Airways,MAURITANIA AIRWAYS,Mauritania,Y
MTX,,Multi Taxi,MULTITAXI,Mexico,N
MTY,,Air Montegomery,MONTY,United Kingdom,N
MTZ,,Mali Airways,MALI AIRWAYS,Mali,N
MUA,,Murray Air,MURRAY AIR,United States,N
MUI,,Trans Air,MAUI,United States,N
MUN,,Aeromundo Ejecutivo,AEROMUNDO,Mexico,N
MUR,,Aerolinea Muri,MURI,Mexico,N
MVA,,Mississippi Valley Airways,VALAIR,United States,N
MVD,KV,Kavminvodyavia,AIR MINVODY,Russia,Y
MVG,,Moldova,MOLDOVA-STATE,Moldova,N
MVI,,Metro Business Aviation,,United Kingdom,N
MVK,,Helicopter Training & Hire,MAVRIK,United Kingdom,N
MVL,H5,Mavial Magadan Airlines,Mavial,Russia,N
MVM,,Air Cargo America,PEGASUS,United States,N
MVN,,Marvin Limited,MARVIN,United Kingdom,N
MVR,,Maverick Airways,MAV-AIR,United States,N
MVY,,VIM-Aviaservice,,Russia,N
MWA,MY,Midwest Airlines (Egypt),,Egypt,Y
MWI,,Malaysia Wings,MWI,Malaysia,Y
MWR,,Raslan Air Service,RASLAN,Egypt,N
MWS,,Malta Wings,MALTA WINGS,Malta,N
MWT,,Midwest Aviation Division,MIDWEST,United States,N
MWY,,Mauritanienne Airways,MAURITANIENNE,Mauritania,N
MXA,MX,Mexicana de Aviaci,MEXICANA,Mexico,Y
MXB,,Mex Blue,MEX BLUE,Mexico,N
MXC,GJ,Compania Mexicargo,MEXICARGO,Mexico,N
MXD,OD,Malindo Air,Malindo,Malaysia,Y
MXE,,Mocambique Expresso,MOZAMBIQUE EXPRESS,Mozambique,N
MXI,I6,MexicanaLink,LINK,Mexico,Y
MXJ,MY,Maxjet Airways,MAX-JET,United States,N
MXL,8M,Maxair,MAXAIR,Sweden,Y
MXO,,Aerotaxi Mexicano,MAXAERO,Mexico,N
MXP,,May Air Xpress,BEECHNUT,United States,N
MXQ,,Transportes Aereos Mexiquenses,MEXIQUENSES,Mexico,N
MXS,,Maxsus-Avia,MAXSUS-AVIA,Uzbekistan,N
MXT,,Mexico Transportes Aereos,TRANSMEX,Mexico,N
MXU,,Maximus Air Cargo,CARGO MAX,United Arab Emirates,N
MXX,,Merchant Express Aviation,MERCHANT,Nigeria,N
MYA,,Myflug,MYFLUG,Iceland,Y
MYD,MW,Maya Island Air,MYLAND,Belize,Y
MYI,,Mayair,MAYAIR,Mexico,N
MYO,,Dominguez Toledo (Grupo Mayoral),MAYORAL,Spain,N
MYP,,Mann Yadanarpon Airlines,MANN ROYAL,Burma,Y
MYS,,Aero Yaqui Mayo,AERO YAQUI,Mexico,N
MYT,VZ,MyTravel Airways,KESTREL,United Kingdom,Y
MYW,,My Way Airlines,FRANKY,Italy,N
MZK,,AVC Airlines,,Japan,N
MZL,,Aerovias Montes Azules,MONTES AZULES,Mexico,N
MZS,M2,Mahfooz Aviation,MAHFOOZ,Gambia,N
NAA,,National Oceanic and Atmospheric Administration,NOAA,United States,N
NAB,,Mina Airline Company,,Egypt,N
NAC,NC,Northern Air Cargo,YUKON,United States,N
NAD,,Seulawah Nad Air,SEULAWAH,Indonesia,N
NAE,,Nations Air Express Inc,NATIONS EXPRESS,United States,N
NAF,,Royal Netherlands Air Force,NETHERLANDS AIR FORCE,Netherlands,N
NAH,,Nahanni Air Services Ltd,NAHANNI,Canada,N
NAI,,North Adria Aviation,NORTH-ADRIA,Croatia,N
NAJ,,North American Jet Charter Group,JET GROUP,United States,N
NAK,Q9,Arik Niger,,Niger,Y
NAL,NA,National Airlines,NATIONAL,United States,N
NAM,,Nortland Air Manitoba,MANITOBA,Canada,N
NAN,,National Airlines,NATION AIR,United States,N
NAP,,Napier Air Service Inc,NAPIER,United States,N
NAR,,Air Continental Inc,NIGHT AIR,United States,N
